employee_id,name,age,department,salary,email,join_date,experience_years,city,performance
E61,Harsh,150,,104802,emp235@gmail.com,,-3,suratt,Excellent
E62,Sneha,,HR,,emp259@yahoo.com,05-10-2020,-3,delhi,Excellent
EMP_63,Amit,,SALEs,-5000,emp773@yahoo.com,05-10-2020,-3,Mumbai,
E64,Meera,38,IT,,emp68@yahoo.com,,,Surat,Poor
,Ravi,,Finance,,emp227@,10/05/2020,-3,Mumbai,
ID-66,Meera,,H R,87127,emp571@gmail.com,,,Mumbai,Excellent
,Rita,,HR,,noemail,,,Delhi,EXCELENT
ID-68,Harsh,150,Finance,50k,emp971@gamil.com,2020-05-10,,suratt,EXCELENT
ID-69,Rekha,,,,emp912@yahoo.com,10/05/2020,,Surat,Good
,Meera,,SALEs,50k,invalid@,2020-05-10,11,delhi,Good
EMP_71,Sam,31,,-5000,emp83@gmail.com,2020-05-10,,delhi,Average
ID-72,Sam,25,SALEs,-5000,emp932@,10/05/2020,-3,,EXCELENT
EMP_73,Meera,,Finance,,emp521@gmail.com,,,Surat,
E74,Sneha,,Sales,,emp442@gmail.com,2020/05/10,12,mumbai,
,Rita,150,finanec,,emp274@gamil.com,,-3,Mumbai,
ID-76,Sneha,,Sales,,emp69@yahoo.com,10/05/2020,14,mumbai,Good
EMP_77,Rita,,H R,-5000,emp913@,,,,Poor
ID-78,Meera##,150,HR,,emp291@gmail.com,,17,Delhi,Good
EMP_79,Meera##,,,,emp923@gamil.com,2020/05/10,,suratt,Excellent
EMP_80,Rekha,55,,-5000,emp542@gmail.com,,,Delhi,
,Ravi,,I.T,60825,emp455@gamil.com,2020/05/10,1,delhi,EXCELENT
E82,Ankit,,Finance,125805,emp387@gamil.com,,-3,Mumbai,Average
EMP_83,Meera,150,I.T,128070,,,13,Delhi,Good
,Sneha,150,H R,-5000,emp100@,2020-05-10,,mumbai,Average
ID-85,John,,H R,65701,noemail,,20,,
,Pooja,,SALEs,140290,emp806@,2020-05-10,-3,mumbai,
E87,John##,150,Sales,-5000,,2020-05-10,,,
EMP_88,Pooja,,SALEs,50k,emp319@gmail.com,10/05/2020,-3,,Good
EMP_89,Pooja,24,Finance,,emp460@gmail.com,10/05/2020,-3,Delhi,
ID-90,Pooja,150,,50k,emp839@,2020-05-10,,,Excellent
E91,Rita##,,SALEs,50k,emp638@gmail.com,10/05/2020,-3,Delhi,Excellent
,Meera12,150,,,emp580@gamil.com,05-10-2020,,Mumbai,Good
ID-93,Kunal,,I.T,50k,emp834@,10/05/2020,,Surat,Excellent
ID-94,Harsh##,41,,,invalid@,05-10-2020,3,suratt,
E95,Harsh,,Finance,,emp901@yahoo.com,2020/05/10,-3,,EXCELENT
ID-96,John,,Sales,109127,emp7@gamil.com,2020/05/10,,mumbai,EXCELENT
EMP_97,Sneha,150,,50k,emp489@yahoo.com,,,delhi,Good
ID-98,Pooja,,,,emp178@,,-3,,EXCELENT
E99,John,,IT,,emp111@,05-10-2020,,Delhi,
,Sneha,,Sales,50k,emp103@,05-10-2020,,Delhi,Good
EMP_101,Sneha,,H R,-5000,emp91@yahoo.com,2020/05/10,9,,Excellent
EMP_102,Ravi,150,Sales,,emp120@gamil.com,10/05/2020,,suratt,Poor
,Rekha,,IT,50k,noemail,05-10-2020,,Mumbai,
,Ravi,49,SALEs,,emp431@gmail.com,10/05/2020,,Mumbai,Excellent
E105,John,150,IT,,emp91@,10/05/2020,-3,Delhi,Excellent
,Sam,,,-5000,invalid@,10/05/2020,,,Average
ID-107,Kunal,,,88822,emp391@gamil.com,,12,,Poor
E108,Rita,150,finanec,,noemail,10/05/2020,,delhi,Excellent
ID-109,Kunal,,I.T,50k,emp171@gmail.com,10/05/2020,12,delhi,Average
EMP_110,"Harsh ",,finanec,,emp914@gamil.com,,,Delhi,Average
,Kunal,,IT,,emp632@gamil.com,05-10-2020,-3,,Average
ID-112,Pooja,,I.T,114846,emp223@,,4,Mumbai,EXCELENT
E113,Ravi,150,Sales,85259,,10/05/2020,,delhi,Average
EMP_114,John,36,,50k,emp922@,2020/05/10,,Mumbai,
,Pooja,150,Finance,-5000,emp256@yahoo.com,2020/05/10,20,suratt,
,Amit12,150,finanec,50k,emp306@,2020-05-10,,,Excellent
ID-117,Ravi##,150,finanec,91960,emp564@gamil.com,05-10-2020,,,
EMP_118,Sam,,SALEs,-5000,emp243@gmail.com,,,mumbai,Average
ID-119,Ravi,150,H R,63582,emp173@gamil.com,2020-05-10,7,Delhi,Average
ID-120,"Harsh ",150,,50k,emp212@yahoo.com,2020-05-10,,Delhi,
EMP_121,John,150,,,emp877@,05-10-2020,,Delhi,Average
ID-122,Harsh,,I.T,50k,emp837@gmail.com,2020/05/10,-3,mumbai,Poor
E123,Harsh,35,Finance,50k,emp670@gmail.com,05-10-2020,-3,,EXCELENT
ID-124,John,150,HR,61435,emp850@gmail.com,2020-05-10,4,suratt,EXCELENT
ID-125,Ankit@,150,IT,,emp917@,,,Mumbai,Excellent
E126,Harsh,,H R,50k,emp198@,2020/05/10,,delhi,EXCELENT
ID-127,"Pooja ",150,Sales,-5000,,10/05/2020,20,suratt,Excellent
EMP_128,Ravi,,,,emp444@,2020/05/10,,delhi,Good
ID-129,Harsh,,I.T,,emp847@,,,delhi,
,Ankit,150,HR,-5000,emp407@,,12,,Average
E131,Sam,,IT,-5000,emp144@,05-10-2020,10,,EXCELENT
,Ravi,150,SALEs,,emp288@gmail.com,05-10-2020,,suratt,Good
ID-133,Sneha,34,,,emp483@gamil.com,2020-05-10,-3,mumbai,EXCELENT
ID-134,Rita,,finanec,-5000,emp806@,2020-05-10,,delhi,
E135,John,150,,,,05-10-2020,9,delhi,
ID-136,Ravi,,Sales,123412,noemail,,,,Poor
EMP_137,Ravi,,H R,59884,emp527@,2020/05/10,-3,,Good
,Sneha,26,HR,,emp567@gmail.com,10/05/2020,17,delhi,EXCELENT
,Rekha,,Sales,86062,emp777@yahoo.com,2020-05-10,19,,Poor
E140,Rekha,51,HR,-5000,emp509@gmail.com,10/05/2020,-3,,Average
E141,Rekha,,,,emp842@gamil.com,,,suratt,Poor
E142,Ravi,150,,16797,emp421@gamil.com,2020-05-10,0,,Poor
ID-143,Meera,,H R,17048,emp44@gamil.com,2020-05-10,-3,mumbai,
EMP_144,Ravi,,,,emp248@gmail.com,10/05/2020,2,,Poor
ID-145,Sneha,150,Sales,50k,emp178@gmail.com,05-10-2020,-3,delhi,Good
ID-146,Pooja,150,,,emp193@,2020/05/10,-3,delhi,Excellent
E147,Sam,,H R,72618,emp23@gmail.com,,-3,Surat,EXCELENT
ID-148,Kunal,,IT,,invalid@,2020-05-10,,,EXCELENT
E149,Sam,35,I.T,-5000,emp400@,10/05/2020,,Surat,
EMP_150,John,150,I.T,-5000,emp429@gamil.com,10/05/2020,-3,Mumbai,EXCELENT
ID-151,Rekha,,finanec,57025,emp521@gmail.com,05-10-2020,6,Surat,Good
ID-152,Amit,54,Finance,96095,emp319@,,-3,,
EMP_153,Harsh,150,Sales,33452,emp158@yahoo.com,10/05/2020,,suratt,
EMP_154,Harsh,56,I.T,,emp145@gamil.com,2020-05-10,,Delhi,Excellent
,Ankit,,,,emp501@gmail.com,,,mumbai,
,Rita,150,IT,,emp623@gamil.com,2020/05/10,-3,Delhi,Excellent
E157,Rita,,Sales,-5000,,,,mumbai,Good
ID-158,Rita,,I.T,,,,0,,Poor
E159,Amit,38,I.T,50k,noemail,,,,
E160,Pooja,,Finance,,emp59@yahoo.com,,,delhi,
EMP_161,Sam,,H R,50k,emp779@,,8,delhi,Average
,Meera,,SALEs,,emp321@gmail.com,05-10-2020,,Surat,Good
,Ravi,,HR,50k,emp444@gmail.com,,-3,suratt,EXCELENT
E164,Rita,53,,,emp176@gamil.com,2020-05-10,-3,suratt,Average
E165,Harsh,150,I.T,,,,,Surat,
EMP_166,Ravi,150,HR,-5000,emp463@yahoo.com,,,Delhi,
ID-167,John,150,finanec,,emp977@yahoo.com,05-10-2020,19,mumbai,Excellent
EMP_168,Meera,37,,11583,invalid@,10/05/2020,-3,,EXCELENT
E169,Sneha,55,,-5000,,,,Delhi,Poor
,Meera,150,H R,-5000,emp647@gamil.com,,,mumbai,Poor
ID-171,Amit,150,I.T,50k,invalid@,2020/05/10,-3,suratt,Good
EMP_172,Ankit,150,Sales,,emp758@gamil.com,,13,,EXCELENT
ID-173,Sam@,,,-5000,,2020-05-10,,,Excellent
ID-174,Sam##,31,,,emp883@gmail.com,,,,
EMP_175,Sneha,,,87991,emp393@gmail.com,2020/05/10,,Mumbai,Good
,Pooja,,H R,,emp231@yahoo.com,2020-05-10,,suratt,
,Kunal,,IT,113310,invalid@,10/05/2020,,,
,Rita,,HR,,emp653@gamil.com,10/05/2020,-3,,
EMP_179,Ankit@,150,HR,,emp783@gamil.com,05-10-2020,,delhi,Poor
ID-180,Meera,23,Sales,51137,emp711@gamil.com,10/05/2020,2,,
ID-181,Sam,,Sales,-5000,invalid@,05-10-2020,14,,
,John,,I.T,,emp92@,2020/05/10,18,Surat,
E183,Rita,,H R,-5000,emp726@yahoo.com,2020/05/10,-3,Surat,Average
E184,Rita,,finanec,,emp829@gmail.com,10/05/2020,-3,mumbai,Poor
E185,Meera,29,HR,130194,emp912@yahoo.com,05-10-2020,-3,Surat,
ID-186,Harsh,,,117862,emp134@gamil.com,2020-05-10,20,Surat,
E187,Sneha,18,SALEs,,invalid@,2020-05-10,,,
EMP_188,Sam,20,SALEs,50k,emp182@,,-3,suratt,Excellent
E189,Pooja,44,Finance,63998,emp434@gamil.com,,,delhi,Excellent
,Sneha,55,,,emp695@,10/05/2020,14,mumbai,
ID-191,Pooja,150,Finance,,emp723@gmail.com,,-3,Mumbai,
ID-192,Ravi12,150,HR,,emp735@,05-10-2020,,,Poor
EMP_193,Pooja,36,Sales,,emp703@,,20,,Poor
ID-194,Harsh,150,I.T,,emp349@,2020/05/10,13,Surat,Good
ID-195,Pooja,,Sales,,emp759@gamil.com,05-10-2020,,,
,Kunal,35,,50k,noemail,10/05/2020,-3,mumbai,Average
ID-197,Rita,24,IT,-5000,emp222@gamil.com,2020-05-10,,Delhi,
EMP_198,Sneha,150,I.T,-5000,emp562@,,,Delhi,
ID-199,Harsh,,H R,50k,emp295@gmail.com,,-3,suratt,EXCELENT
ID-200,Sam@,,Finance,134305,emp471@,05-10-2020,-3,Surat,Excellent
E201,Pooja,30,H R,50k,emp189@,2020-05-10,6,Mumbai,
E202,Pooja,53,Finance,50k,,,,Mumbai,EXCELENT
EMP_203,Sam,150,,50k,emp658@,2020-05-10,18,,Good
E204,John,,IT,,emp548@yahoo.com,2020-05-10,-3,Surat,Good
EMP_205,John,150,Finance,50k,emp310@gamil.com,,,mumbai,
E206,Meera,,HR,,emp462@yahoo.com,2020/05/10,-3,,Excellent
,Sam,150,finanec,49342,emp562@,2020-05-10,3,,Average
,Rekha,51,,50k,,2020/05/10,,,Average
,Sneha,150,,,emp255@gmail.com,2020-05-10,20,suratt,
EMP_210,Rita,,SALEs,-5000,emp704@yahoo.com,05-10-2020,,suratt,EXCELENT
,Meera,33,,24129,emp848@gmail.com,,,suratt,Poor
,Amit,,,50k,emp635@,05-10-2020,-3,,Good
ID-213,Harsh,150,HR,,,,,delhi,EXCELENT
E214,Pooja,28,finanec,-5000,emp4@gmail.com,2020/05/10,,Mumbai,
E215,Sneha,,Finance,,emp31@yahoo.com,,-3,Mumbai,EXCELENT
E216,Meera,150,I.T,,emp366@gamil.com,2020/05/10,,,Poor
EMP_217,Harsh,150,,-5000,noemail,2020-05-10,19,,Average
ID-218,Amit,150,I.T,-5000,,2020/05/10,,Mumbai,
ID-219,Ravi,60,I.T,9920,emp232@gmail.com,,-3,,Good
EMP_220,Pooja,,,,invalid@,10/05/2020,,suratt,Good
EMP_221,Ravi12,150,H R,-5000,emp756@gmail.com,,,Surat,
,Sneha,49,SALEs,-5000,emp338@yahoo.com,2020/05/10,,Surat,Good
E223,Rita@,,finanec,-5000,emp116@gmail.com,10/05/2020,-3,suratt,
EMP_224,Ankit,35,,50k,emp328@,10/05/2020,,,Excellent
EMP_225,Harsh,,HR,,emp121@gmail.com,,,,
E226,Kunal,,SALEs,50k,emp384@gmail.com,,,Surat,EXCELENT
ID-227,Ravi,,IT,123777,emp112@gamil.com,05-10-2020,,mumbai,Average
,Meera,,H R,-5000,,2020-05-10,-3,delhi,EXCELENT
ID-229,John,,H R,,emp96@yahoo.com,05-10-2020,,Delhi,EXCELENT
,Ankit,,SALEs,-5000,,2020-05-10,4,Surat,Excellent
E231,Ravi,58,Finance,50k,emp292@,,,Delhi,EXCELENT
,Sneha,,Finance,50k,emp277@gamil.com,05-10-2020,-3,mumbai,EXCELENT
ID-233,Pooja,,Finance,,emp518@gamil.com,2020-05-10,,mumbai,Excellent
ID-234,Harsh,,H R,19951,emp82@gmail.com,10/05/2020,,delhi,
,Rita,33,,50k,emp253@yahoo.com,2020/05/10,,,
EMP_236,Ravi,47,IT,50k,,,,Mumbai,Average
,Sam,,,,,2020-05-10,15,,Average
EMP_238,Amit,150,IT,,,10/05/2020,,,
,Sam,,SALEs,46118,invalid@,,-3,,
E240,Amit,37,,-5000,invalid@,2020/05/10,,,
E241,Pooja,150,IT,,emp937@,,-3,suratt,
ID-242,Meera,35,Sales,-5000,emp883@,,-3,Surat,Good
,Ravi,21,,50k,emp404@yahoo.com,2020/05/10,-3,Delhi,
,Rita,150,,,noemail,2020-05-10,9,Mumbai,Excellent
ID-245,Meera,,H R,-5000,emp492@gmail.com,05-10-2020,,,Good
,Sneha,25,Sales,50k,emp736@,,18,delhi,
ID-247,Sam,,Finance,-5000,emp263@,,,delhi,
ID-248,Rita@,150,,50k,emp511@yahoo.com,,,delhi,
ID-249,Ravi,,Finance,,emp740@gamil.com,10/05/2020,8,Surat,
ID-250,Kunal,31,HR,-5000,emp908@,10/05/2020,,,Poor
ID-251,Kunal,,,,emp997@yahoo.com,05-10-2020,,Delhi,Excellent
EMP_252,John,53,SALEs,,emp241@gmail.com,2020/05/10,,,EXCELENT
,John@,,IT,-5000,emp293@yahoo.com,2020-05-10,-3,,Poor
EMP_254,Pooja,,IT,50k,emp5@gamil.com,,-3,suratt,
E255,Sneha,,SALEs,45454,emp150@gamil.com,,,Delhi,Poor
,Pooja,150,H R,-5000,emp300@gamil.com,2020/05/10,,delhi,Average
,Sneha,150,,,invalid@,2020/05/10,,,Average
E258,Pooja,57,,50k,emp36@yahoo.com,2020-05-10,,Mumbai,Average
,Rita,150,,,,2020/05/10,-3,Delhi,
ID-260,Amit,59,IT,50k,emp559@gamil.com,2020/05/10,,delhi,Average
E261,Ravi,25,Finance,,emp357@yahoo.com,,,suratt,
,Kunal,150,Sales,,emp161@,2020/05/10,-3,Surat,EXCELENT
,Harsh,53,SALEs,,emp187@gmail.com,05-10-2020,14,Delhi,Good
ID-264,Amit,,SALEs,-5000,invalid@,05-10-2020,,delhi,Excellent
,Ankit,,HR,50k,emp631@,,,,
EMP_266,Ankit,,H R,139028,emp850@gmail.com,2020/05/10,2,,EXCELENT
,Kunal,150,,,emp784@gmail.com,10/05/2020,15,Delhi,EXCELENT
ID-268,Kunal,21,SALEs,-5000,emp400@gmail.com,05-10-2020,,suratt,Poor
EMP_269,Rita,150,HR,50k,emp287@gamil.com,2020/05/10,,suratt,
EMP_270,Pooja##,,,,,2020/05/10,-3,delhi,
,Pooja,150,HR,118602,emp808@gmail.com,2020-05-10,3,,Poor
ID-272,Amit,,Finance,50k,emp863@,10/05/2020,-3,suratt,Poor
,Ankit,150,,,emp410@,,-3,Delhi,Poor
ID-274,Kunal,150,,,emp364@gamil.com,2020/05/10,3,Mumbai,Excellent
E275,Kunal,,H R,-5000,emp722@,,-3,Surat,Poor
E276,Meera,26,SALEs,,emp732@gmail.com,05-10-2020,6,delhi,Good
ID-277,Pooja,47,IT,50k,emp926@,,,,Poor
EMP_278,Sneha,150,HR,,emp341@yahoo.com,05-10-2020,,Mumbai,
ID-279,"John ",,Sales,-5000,emp822@gamil.com,,,Delhi,
,Ankit,150,HR,73459,invalid@,2020/05/10,,Surat,Excellent
,John,60,H R,70968,emp525@,2020-05-10,,,EXCELENT
EMP_282,Sam,,Finance,,emp605@yahoo.com,,17,,
ID-283,Rita,32,I.T,,emp287@gmail.com,,-3,suratt,Good
E284,Pooja,150,H R,,emp364@gmail.com,,13,delhi,Good
EMP_285,Rekha,,HR,,emp364@,2020/05/10,,Delhi,
E286,Amit,,finanec,-5000,emp245@gamil.com,10/05/2020,17,Delhi,EXCELENT
ID-287,Sneha##,49,,145086,emp583@gamil.com,2020-05-10,,delhi,Good
,Rekha,40,SALEs,50k,noemail,2020-05-10,,,
,Amit,150,finanec,50k,emp625@,2020/05/10,-3,Surat,Excellent
ID-290,Harsh,,SALEs,,noemail,,,Mumbai,Average
E291,Rita,57,HR,,emp334@gmail.com,05-10-2020,,,EXCELENT
E292,Pooja,40,Finance,-5000,emp467@gamil.com,10/05/2020,,,Good
EMP_293,Sneha,,,,emp752@yahoo.com,,,Delhi,EXCELENT
EMP_294,Rekha,,I.T,-5000,emp431@gmail.com,05-10-2020,16,delhi,Average
EMP_295,Amit,,I.T,50k,emp127@,,,,EXCELENT
ID-296,Pooja,150,Finance,-5000,emp533@,2020-05-10,,suratt,
E297,"Rekha ",,H R,-5000,emp346@gmail.com,2020-05-10,8,delhi,EXCELENT
EMP_298,Sneha,,IT,,emp414@,,-3,Delhi,Average
EMP_299,Sam,36,,50k,emp883@yahoo.com,,5,,Excellent
EMP_300,Ravi,150,H R,86325,emp710@gamil.com,10/05/2020,,Surat,Good
ID-301,Meera,,,-5000,emp937@gmail.com,,,Mumbai,Excellent
E302,Pooja,,finanec,,emp861@yahoo.com,,,suratt,Poor
EMP_303,Rekha,,SALEs,,emp104@,2020-05-10,-3,mumbai,Excellent
EMP_304,John,150,H R,50k,,,-3,Surat,Average
ID-305,Sneha,,,,emp410@gamil.com,2020/05/10,18,Mumbai,Excellent
,Ravi,150,SALEs,50k,emp3@gmail.com,,10,,
,Sam,,finanec,50k,emp76@yahoo.com,05-10-2020,-3,Mumbai,Excellent
,Rita,53,SALEs,37285,,05-10-2020,,,EXCELENT
,Meera,150,Finance,-5000,emp481@,10/05/2020,-3,,Average
E310,Sam,150,HR,,emp122@gmail.com,,,Delhi,
ID-311,Ankit,53,I.T,,noemail,10/05/2020,17,Mumbai,EXCELENT
EMP_312,Ravi,150,,,emp807@gamil.com,2020-05-10,-3,,Good
ID-313,Sam,150,Finance,-5000,emp855@yahoo.com,2020-05-10,,Delhi,Average
ID-314,Rita,42,I.T,,emp922@gmail.com,,1,mumbai,
ID-315,Meera,,,-5000,emp826@,10/05/2020,2,mumbai,EXCELENT
,Pooja,,HR,-5000,emp631@gmail.com,,4,Surat,Good
E317,Sam,,IT,50k,emp768@gmail.com,10/05/2020,-3,,Average
E318,Kunal,150,Sales,50k,emp405@gamil.com,2020-05-10,-3,Mumbai,Excellent
ID-319,Rita,150,,26809,emp89@gmail.com,,-3,Mumbai,Average
,John,37,finanec,50k,,10/05/2020,,Surat,Average
ID-321,Kunal##,,H R,58983,emp299@gmail.com,2020/05/10,,mumbai,
E322,Rita,49,finanec,50k,,,,Surat,
E323,Pooja,150,Finance,,emp423@gmail.com,05-10-2020,15,Surat,Good
,"Pooja ",,Sales,50k,emp802@gmail.com,,16,,
,Sneha,150,SALEs,,emp428@gamil.com,2020/05/10,-3,Mumbai,Average
,Sam,45,HR,31548,emp35@yahoo.com,,,,Good
ID-327,Ankit,,,50k,emp701@yahoo.com,2020-05-10,,suratt,Poor
ID-328,Sneha12,,Finance,50k,emp698@,,,Delhi,EXCELENT
EMP_329,Meera,150,Sales,50k,,2020-05-10,3,Delhi,Excellent
E330,Ankit##,53,finanec,-5000,emp371@gmail.com,2020/05/10,,,Poor
ID-331,John,24,I.T,50k,invalid@,,,,
E332,Sneha,150,H R,102555,noemail,10/05/2020,-3,Mumbai,Good
EMP_333,Amit,150,finanec,-5000,emp906@,2020-05-10,-3,delhi,Poor
E334,Kunal,,,,emp273@gamil.com,2020-05-10,-3,Delhi,Poor
E335,Ankit,35,,,emp262@gmail.com,,-3,Delhi,Poor
EMP_336,John,,SALEs,50k,emp677@gamil.com,,3,suratt,
E337,John,,Finance,50k,emp658@,2020/05/10,1,Delhi,Excellent
E338,Kunal,31,HR,,emp360@yahoo.com,,-3,,Excellent
EMP_339,Rekha,,,,emp403@yahoo.com,2020/05/10,-3,Delhi,Excellent
EMP_340,Sam,,finanec,,emp220@,05-10-2020,,,
E341,Sneha,27,SALEs,,emp120@gmail.com,2020-05-10,,mumbai,Poor
EMP_342,Rita,,HR,111392,invalid@,05-10-2020,,Surat,Poor
,Amit,46,Sales,50k,emp856@,,,Mumbai,EXCELENT
E344,Rekha,,HR,111565,emp63@gmail.com,10/05/2020,8,delhi,Good
EMP_345,Amit,37,Finance,-5000,emp29@gamil.com,,-3,Surat,EXCELENT
EMP_346,Harsh,,H R,,emp38@,2020/05/10,,,Good
,Kunal,,SALEs,11800,emp636@gmail.com,,-3,Mumbai,
ID-348,Meera,,finanec,-5000,emp592@gamil.com,2020-05-10,13,mumbai,Excellent
,"Meera ",38,finanec,-5000,emp939@gmail.com,10/05/2020,,Delhi,Poor
ID-350,Harsh,150,SALEs,50k,emp612@yahoo.com,2020-05-10,2,Surat,Good
,Amit,25,IT,50k,emp68@yahoo.com,10/05/2020,6,Delhi,
ID-352,Sam,44,H R,115342,emp679@yahoo.com,,-3,delhi,
E353,Amit,,finanec,,noemail,,,Surat,Poor
EMP_354,Sneha,,Sales,,emp891@gamil.com,10/05/2020,,Delhi,Good
,Rita,150,HR,149708,emp134@gmail.com,2020-05-10,,Surat,
,Pooja,150,HR,50k,emp433@yahoo.com,,18,,
,Pooja,150,,50k,emp639@,2020/05/10,6,mumbai,
EMP_358,Kunal,150,Finance,,emp15@,,,mumbai,Poor
EMP_359,Ravi,,H R,50k,emp84@yahoo.com,2020-05-10,1,,
ID-360,Amit,46,finanec,50k,emp283@gmail.com,2020-05-10,-3,delhi,Good
ID-361,Amit,,IT,-5000,emp247@gamil.com,05-10-2020,4,Delhi,Excellent
EMP_362,Harsh,42,SALEs,,emp462@gmail.com,,,,EXCELENT
EMP_363,Ankit,50,IT,140494,emp451@gamil.com,10/05/2020,,delhi,
EMP_364,"Sneha ",33,I.T,,emp405@,,,Delhi,
E365,Sneha,150,,,emp14@gmail.com,2020/05/10,-3,suratt,Excellent
ID-366,Sneha,52,Sales,50k,,,,,Poor
E367,Kunal,,HR,-5000,emp410@yahoo.com,,11,mumbai,EXCELENT
,Meera,150,SALEs,-5000,emp667@yahoo.com,,,,Average
E369,Harsh,150,I.T,,noemail,10/05/2020,,suratt,Excellent
ID-370,Meera,,H R,102956,emp363@,10/05/2020,-3,suratt,Poor
E371,Rekha,,I.T,79933,emp802@gamil.com,,,Surat,EXCELENT
,Meera,47,IT,147939,emp870@gmail.com,2020/05/10,1,Mumbai,Excellent
E373,Rekha,,Sales,36856,emp230@gmail.com,2020-05-10,11,Surat,Average
E374,Ravi,,SALEs,37923,invalid@,05-10-2020,,,
